Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Aarnet,0.068,0.068,2116,5502
Abilene,0.026,0.035,456,826
Abvt,0.041,0.077,3146,6836
Aconet,0.051,0.078,3906,8386
Agis,0.045,0.065,3046,5369
Ai3,0.021,0.027,90,90
Airtel,0.043,0.072,1528,6380
Amres,0.043,0.039,600,600
Ans,0.046,0.061,2014,4740
Arn,0.051,0.054,870,870
Arnes,0.076,0.118,7879,21617
Arpanet196912,0.015,0.015,22,22
Arpanet19706,0.025,0.023,160,168
Arpanet19719,0.043,0.039,1196,2100
Arpanet19723,0.049,0.047,1780,2282
Arpanet19728,0.058,0.061,2100,2312
AsnetAm,0.163,0.278,22474,55738
Atmnet,0.037,0.034,810,852
AttMpls,0.074,0.464,8830,56773
Azrena,0.041,0.036,462,462
Bandcon,0.04,0.068,2602,5964
Basnet,0.02,0.017,42,42
Bbnplanet,0.046,0.048,1550,1674
Bellcanada,0.114,0.464,18594,59480
Bellsouth,0.143,0.893,29780,157084
Belnet2003,0.058,0.154,3336,28572
Belnet2004,0.048,0.16,3336,28572
Belnet2005,0.057,0.177,3682,30918
Belnet2006,0.072,0.184,3682,30918
Belnet2007,0.039,0.044,1544,2290
Belnet2008,0.04,0.051,1544,2290
Belnet2009,0.038,0.044,1544,2290
Belnet2010,0.037,0.046,1432,1811
BeyondTheNetwork,0.127,0.266,19820,47334
Bics,0.1,0.226,10344,37273
Biznet,0.061,0.075,2644,4354
Bren,0.067,0.063,2406,2424
BsonetEurope,0.04,0.058,1885,5010
BtAsiaPac,0.043,0.086,3158,12384
BtEurope,0.06,0.147,5916,25487
BtLatinAmerica,0.087,0.095,6510,9728
BtNorthAmerica,0.116,1.712,23614,162588
Canerie,0.069,0.123,7118,22030
Carnet,0.091,0.083,1892,1892
Cernet,0.109,0.291,14814,54502
Cesnet1993,0.02,0.019,90,90
Cesnet1997,0.031,0.026,156,156
Cesnet1999,0.031,0.024,156,156
Cesnet2001,0.035,0.04,1062,1286
Cesnet200304,0.065,0.093,3210,5228
Cesnet200511,0.09,0.161,8102,20492
Cesnet200603,0.092,0.145,8102,20492
Cesnet200706,0.101,0.163,10010,29844
Cesnet201006,0.124,0.222,14884,38086
Chinanet,0.134,0.915,23947,140685
Claranet,0.03,0.039,728,1310
Cogentco,4.532,42.665,591132,2631154
Colt,1.647,4.452,202591,565160
Columbus,0.236,0.726,34868,101071
Compuserve,0.03,0.031,808,1322
CrlNetworkServices,0.067,0.07,3356,4450
Cudi,0.095,0.092,4320,4646
Cwix,0.08,0.089,5630,8464
Cynet,0.046,0.053,870,870
Darkstrand,0.048,0.056,2084,2386
Dataxchange,0.019,0.02,114,282
Deltacom,1.173,20.921,217349,1193550
DeutscheTelekom,0.082,0.382,10286,59836
Dfn,0.248,1.055,44586,180150
DialtelecomCz,1.377,1.987,96902,230113
Digex,0.059,0.071,2724,3373
Easynet,0.045,0.068,2047,6580
Eenet,0.026,0.028,250,250
EliBackbone,0.042,0.084,3101,9611
Epoch,0.019,0.019,122,202
Ernet,0.061,0.067,3480,6022
Esnet,0.226,0.487,30238,97965
Eunetworks,0.036,0.032,520,640
Evolink,0.081,0.11,6230,15572
Fatman,0.034,0.053,1320,3836
Fccn,0.042,0.049,1386,2466
Forthnet,0.129,0.13,5220,5220
Funet,0.049,0.059,2486,3816
Gambia,0.049,0.053,1384,1384
Garr199901,0.032,0.036,620,1000
Garr199904,0.059,0.045,1294,2082
Garr199905,0.045,0.046,1294,2082
Garr200109,0.041,0.05,1170,1878
Garr200112,0.046,0.048,1400,2248
Garr200212,0.057,0.059,1766,2830
Garr200404,0.044,0.058,1182,1902
Garr200902,0.165,0.67,31495,120394
Garr200908,0.16,0.619,31360,117968
Garr200909,0.164,0.69,32634,122778
Garr200912,0.196,0.616,31564,120122
Garr201001,0.166,0.651,31564,120122
Garr201003,0.222,0.639,31591,121399
Garr201004,0.162,0.691,31591,121399
Garr201005,0.161,0.683,32661,124105
Garr201007,0.172,0.662,32771,125245
Garr201008,0.171,0.658,32771,125245
Garr201010,0.223,0.76,34049,130128
Garr201012,0.175,0.704,33937,128980
Garr201101,0.196,0.807,34210,130701
Garr201102,0.182,0.777,35518,136806
Garr201103,0.211,0.739,36709,140048
Garr201104,0.211,0.908,39394,153411
Garr201105,0.213,1.002,39754,155504
Garr201107,0.209,0.934,39754,155504
Garr201108,0.217,0.867,39754,155504
Garr201109,0.211,0.905,39440,152785
Garr201110,0.213,0.876,39440,152806
Garr201111,0.213,0.776,37726,138417
Garr201112,0.22,0.81,38846,142185
Garr201201,0.225,0.797,38846,142185
Gblnet,0.018,0.029,56,56
Geant2001,0.06,0.136,6294,22044
Geant2009,0.081,0.268,11884,47336
Geant2010,0.092,0.4,14938,61176
Geant2012,0.123,0.59,19402,88761
Getnet,0.017,0.02,130,202
Globalcenter,0.022,0.042,576,3600
Globenet,0.283,1.433,53456,205815
Goodnet,0.035,0.102,2741,13609
Grena,0.032,0.028,240,240
Gridnet,0.024,0.045,552,2256
Grnet,0.077,0.112,7394,17755
GtsCe,1.98,21.151,328217,1586076
GtsCzechRepublic,0.06,0.068,1734,1778
GtsHungary,0.057,0.061,2014,2170
GtsPoland,0.07,0.073,4310,6565
GtsRomania,0.039,0.046,1700,3116
GtsSlovakia,0.075,0.085,3702,6210
Harnet,0.04,0.054,1812,3336
Heanet,0.019,0.024,216,660
HiberniaCanada,0.026,0.033,384,498
HiberniaGlobal,0.206,2.489,39080,221067
HiberniaIreland,0.025,0.016,104,104
HiberniaNireland,0.033,0.036,1153,1572
HiberniaUk,0.035,0.027,278,278
HiberniaUs,0.043,0.087,3114,9814
Highwinds,0.052,0.129,2936,14135
HostwayInternational,0.032,0.041,1184,2819
HurricaneElectric,0.055,0.125,4820,20366
Ibm,0.041,0.055,1864,3856
Iij,0.13,0.996,21614,132641
Iinet,0.07,0.096,4870,13176
Ilan,0.029,0.032,572,1100
Integra,0.06,0.085,4676,9708
Intellifiber,0.318,1.436,53574,200398
Internetmci,0.04,0.102,3302,13286
Internode,0.212,0.541,38072,126148
Interoute,0.837,7.726,164159,757037
Intranetwork,0.102,0.365,12138,52078
Ion,1.076,2.348,120062,296192
IowaStatewideFiberMap,0.069,0.094,5796,10888
Iris,0.124,0.247,18410,38480
Istar,0.04,0.038,854,854
Itnet,0.024,0.024,110,110
Janetbackbone,0.074,0.215,9637,34237
JanetExternal,0.021,0.039,90,90
Janetlense,0.049,0.158,4369,23005
Jgn2Plus,0.031,0.037,306,306
Karen,0.045,0.062,2648,4772
KentmanApr2007,0.043,0.051,1516,2768
KentmanAug2005,0.046,0.056,2314,4558
KentmanFeb2008,0.048,0.059,2112,3844
KentmanJan2011,0.074,0.066,2216,2216
KentmanJul2005,0.031,0.033,518,604
Kreonet,0.024,0.043,156,156
LambdaNet,0.087,0.092,4262,4936
Latnet,0.174,0.208,12958,18678
Layer42,0.017,0.02,78,126
Litnet,0.087,0.086,3256,3256
Marnet,0.038,0.07,2284,8484
Marwan,0.029,0.042,844,1292
Missouri,0.206,0.553,36084,100686
Mren,0.019,0.016,30,30
Myren,0.081,0.114,4238,9026
Napnet,0.016,0.02,78,126
Navigata,0.027,0.036,692,2124
Netrail,0.02,0.021,190,402
NetworkUsa,0.069,0.07,3550,4070
Nextgen,0.031,0.034,758,1018
Niif,0.079,0.095,4876,7756
Noel,0.054,0.054,1998,4810
Nordu1989,0.019,0.019,42,42
Nordu1997,0.028,0.028,182,182
Nordu2005,0.021,0.025,130,136
Nordu2010,0.031,0.033,304,304
Nsfcnet,0.027,0.024,196,260
Nsfnet,0.026,0.037,578,764
Ntelos,0.135,0.377,18122,57512
Ntt,0.144,1.749,17218,120438
Oteglobe,0.381,0.742,49848,132865
Oxford,0.041,0.052,1846,3556
Pacificwave,0.036,0.041,832,1304
Packetexchange,0.039,0.058,2422,5082
Padi,0.02,0.017,42,42
Palmetto,0.117,0.494,19695,69416
Peer1,0.033,0.04,1166,2444
Pern,0.743,0.999,50282,112922
PionierL1,0.076,0.091,4722,7056
PionierL3,0.092,0.106,6234,11826
Psinet,0.038,0.041,1066,1158
Quest,0.04,0.091,3228,11396
RedBestel,0.435,0.937,51124,131895
Rediris,0.04,0.095,3246,12056
Renam,0.016,0.019,20,20
Renater1999,0.042,0.044,552,552
Renater2001,0.043,0.054,2152,3182
Renater2004,0.057,0.079,4150,7088
Renater2006,0.075,0.114,6928,13624
Renater2008,0.078,0.118,6928,13624
Renater2010,0.113,0.206,13830,34787
Restena,0.034,0.041,1310,1842
Reuna,0.055,0.064,1332,1332
Rhnet,0.034,0.035,654,842
Rnp,0.06,0.077,3908,6622
Roedunet,0.114,0.162,7032,18206
RoedunetFibre,0.103,0.11,7460,9555
Sago,0.036,0.03,306,306
Sanet,0.106,0.098,3968,4208
Sanren,0.018,0.018,70,70
Savvis,0.042,0.034,720,762
Shentel,0.068,0.104,4734,14052
Sinet,0.226,0.307,18910,25844
Singaren,0.026,0.028,110,110
Spiralight,0.027,0.032,562,618
Sprint,0.028,0.039,748,2604
Sunet,0.065,0.09,3710,9195
Surfnet,0.135,0.438,24674,86339
Switch,0.305,0.889,46390,139463
SwitchL3,0.11,0.526,21246,90128
Syringa,0.24,0.229,6280,6280
TataNld,2.61,93.012,364591,2493639
Telcove,0.155,0.244,4970,4970
Telecomserbia,0.019,0.024,78,78
Tinet,0.184,2.643,43236,253339
TLex,0.03,0.028,384,640
Tw,0.408,4.725,101325,518621
Twaren,0.035,0.034,964,1156
Ulaknet,0.27,0.357,9420,9420
UniC,0.053,0.056,1888,2842
Uninet,0.032,0.039,906,2367
Uninett2010,0.273,1.648,69388,279256
Uninett2011,0.253,1.491,60469,243460
Uran,0.045,0.041,892,1018
UsCarrier,2.175,12.829,291633,1161295
UsSignal,0.205,0.636,31688,90849
Uunet,0.166,2.311,38590,240994
Vinaren,0.043,0.045,1218,1358
VisionNet,0.04,0.042,552,552
VtlWavenet2008,0.4,0.527,18536,21280
VtlWavenet2011,0.387,0.46,20454,23652
WideJpn,0.061,0.062,1916,2520
Xeex,0.056,0.089,4527,11483
Xspedius,0.08,0.167,11094,29090
York,0.041,0.038,794,822
Zamren,0.062,0.062,1190,1190
